zip_part	map	page	images	categories
2	Iris	https://counterstrike.fandom.com/wiki/Iris	Image; Radar; Logo	Community Bomb maps; Counter-Strike: Global Offensive removed maps
2	Italy	https://counterstrike.fandom.com/wiki/Italy	Image; Radar; Logo	Counter-Strike (Xbox) Hostage maps; Counter-Strike 2 Hostage maps; Counter-Strike Hostage maps; Counter-Strike: Condition Zero Hostage maps; Counter-Strike: Global Offensive Hostage maps; Hostage Group; Counter-Strike: Source Hostage maps
2	Jail	https://counterstrike.fandom.com/wiki/Jail	Image	Counter-Strike cut maps; Escape maps
2	Jeepathon2k	https://counterstrike.fandom.com/wiki/Jeepathon2k	Image	Counter-Strike cut maps
2	Jungle	https://counterstrike.fandom.com/wiki/Jungle	Image; Radar; Logo	Community Danger Zone maps; Operation Shattered Web maps; Counter-Strike: Global Offensive removed maps
2	Junglecamp	https://counterstrike.fandom.com/wiki/Junglecamp	Image	Counter-Strike (Xbox) cut maps; Counter-Strike: Condition Zero cut maps
2	Junglecompound	https://counterstrike.fandom.com/wiki/Junglecompound	Image	Counter-Strike: Condition Zero cut maps
2	Jura	https://counterstrike.fandom.com/wiki/Jura	Image; Radar; Logo	Counter-Strike 2 Community Bomb maps
2	Lake	https://counterstrike.fandom.com/wiki/Lake	Image; Radar; Logo	Counter-Strike: Global Offensive Arms Race maps; Demolition Group; Flying Scoutsman Group
2	Library	https://counterstrike.fandom.com/wiki/Library	Image; Radar	Community Bomb maps; Operation Payback maps
2	Lite	https://counterstrike.fandom.com/wiki/Lite	Image; Radar; Icon	Community Bomb maps; Counter-Strike Community maps; Operation Hydra maps
3	Log	https://counterstrike.fandom.com/wiki/Log	Image; Radar	Community Bomb maps; Operation Bloodhound maps
3	Lunacy	https://counterstrike.fandom.com/wiki/Lunacy	Image; Radar; Logo	Operation Shattered Web maps; Counter-Strike: Global Offensive Arms Race maps; Flying Scoutsman Group
3	Mansion	https://counterstrike.fandom.com/wiki/Mansion	Image	Counter-Strike cut maps
3	Marquis	https://counterstrike.fandom.com/wiki/Marquis	Image; Radar	Community Bomb maps; Operation Vanguard maps
3	Memento	https://counterstrike.fandom.com/wiki/Memento	Image; Radar; Logo	Counter-Strike 2 Community Wingman maps
3	Miami	https://counterstrike.fandom.com/wiki/Miami	Image	Counter-Strike (Xbox) Hostage maps; Counter-Strike: Condition Zero cut maps
3	Mikla	https://counterstrike.fandom.com/wiki/Mikla	Image; Radar	Community Bomb maps; Operation Wildfire maps
3	Militia	https://counterstrike.fandom.com/wiki/Militia	Image; Upper Radar; Lower Radar; Logo	Counter-Strike (Xbox) Hostage maps; Counter-Strike Hostage maps; Counter-Strike: Condition Zero Hostage maps; Counter-Strike: Global Offensive Hostage maps; Counter-Strike: Source Hostage maps
3	Militia (Winter)	https://counterstrike.fandom.com/wiki/Militia_(Winter)	Image	Counter-Strike: Global Offensive special maps
3	Mills	https://counterstrike.fandom.com/wiki/Mills	Image; Radar; Logo	Counter-Strike 2 Community Bomb maps
3	Mirage	https://counterstrike.fandom.com/wiki/Mirage	Image; Radar; Logo	Counter-Strike 2 Bomb maps; Counter-Strike: Global Offensive Bomb maps; Counter-Strike Community maps; Active Duty Group; Defusal Group Sigma; Retakes Group
3	Mist	https://counterstrike.fandom.com/wiki/Mist	Image; Radar	Community Bomb maps; Operation Breakout maps
3	Mocha	https://counterstrike.fandom.com/wiki/Mocha	Image; Radar; Logo	Community Bomb maps; Counter-Strike: Global Offensive removed maps
3	Monastery	https://counterstrike.fandom.com/wiki/Monastery	Image; Radar; Logo	Counter-Strike: Global Offensive Arms Race maps
